stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:601,,Ustaoset stasjon,,60.496525,8.045038,,,0,NSR:StopPlace:358,2,,1,100
NSR:Quay:843,,Kambo stasjon,,59.47763,10.692382,,,0,NSR:StopPlace:513,2,,2,100
NSR:Quay:844,,Ålen stasjon,,62.846523,11.314981,,,0,NSR:StopPlace:514,2,,1,100
NSR:Quay:602,,Grorud stasjon,,59.94982,10.887484,,,0,NSR:StopPlace:359,2,,3,100
NSR:Quay:603,,Ustaoset stasjon,,60.496483,8.044905,,,0,NSR:StopPlace:358,2,,2,100
NSR:Quay:845,,Kambo stasjon,,59.477665,10.692232,,,0,NSR:StopPlace:513,2,,1,100
NSR:Quay:604,,Grorud stasjon,,59.949753,10.887694,,,0,NSR:StopPlace:359,2,,1,100
NSR:Quay:100214,,Trondheim lufthavn,Avgangshallen øvre plan,63.45405,10.917825,,,0,NSR:StopPlace:44286,2,,,700
NSR:Quay:605,,Jørstad,,64.20713,12.246194,,,0,NSR:StopPlace:360,2,,,700
NSR:Quay:606,,Ustaoset,,60.49698,8.044598,,,0,NSR:StopPlace:361,2,,,700
NSR:Quay:849,,Bolstadøyri stasjon,,60.637894,5.957766,,,0,NSR:StopPlace:518,2,,1,100
NSR:Quay:607,,Jåttåvågen stasjon,,58.9139,5.729211,,,0,NSR:StopPlace:362,2,,1,100
NSR:Quay:608,,Grorud,,59.9499,10.886695,,,0,NSR:StopPlace:363,2,,,700
NSR:Quay:609,,Jåttåvågen stasjon,,58.91384,5.729047,,,0,NSR:StopPlace:362,2,,2,100
NSR:Quay:7380,,Sørumsand stasjon,,59.986076,11.241846,,,0,NSR:StopPlace:4091,2,,2,700
NSR:Quay:110496,,Charlottenberg station,,59.88397,12.29854,,,0,NSR:StopPlace:8316,2,,,700
NSR:Quay:77903,,Levanger stasjon,,63.745087,11.300888,,,0,NSR:StopPlace:45170,2,,,700
NSR:Quay:77902,,Levanger stasjon,,63.745125,11.300815,,,0,NSR:StopPlace:45170,2,,,700
NSR:Quay:98606,,Melhus skysstasjon,,63.284847,10.27791,,,0,NSR:StopPlace:217,2,,1,700
NSR:Quay:99932,,Fredrikstad stasjon,,59.208607,10.95011,,,0,NSR:StopPlace:2309,2,,,700
NSR:Quay:101994,,Oteråga,,67.29916,14.870811,,,0,NSR:StopPlace:59912,2,,,700
NSR:Quay:101995,,Oteråga,,67.29892,14.866857,,,0,NSR:StopPlace:59912,2,,,700
NSR:Quay:861,,Åndalsnes stasjon,,62.56726,7.689748,,,0,NSR:StopPlace:520,2,,1,100
NSR:Quay:98609,,Lundamo,,63.151543,10.28035,,,0,NSR:StopPlace:464,2,,1,700
NSR:Quay:862,,Kongsberg,,59.67377,9.646531,,,0,NSR:StopPlace:522,2,,,700
NSR:Quay:621,,Kvål,,63.23345,10.279579,,,0,NSR:StopPlace:373,2,,,700
NSR:Quay:863,,Bondivann stasjon,,59.820312,10.43306,,,0,NSR:StopPlace:523,2,,1,100
NSR:Quay:611,,Vaksdal stasjon,,60.480038,5.73412,,,0,NSR:StopPlace:364,2,,2,100
NSR:Quay:102607,,Kongsberg,,59.67253,9.651398,,,0,NSR:StopPlace:522,2,,,700
NSR:Quay:853,,Kongsberg stasjon,,59.67216,9.651039,,,0,NSR:StopPlace:519,2,,2,100
NSR:Quay:855,,Bolstadøyri,,60.637974,5.957422,,,0,NSR:StopPlace:521,2,,,700
NSR:Quay:856,,Åndalsnes stasjon,,62.567204,7.691492,,,0,NSR:StopPlace:520,2,,2,100
NSR:Quay:615,,Jåttåvågen,,58.913857,5.727833,,,0,NSR:StopPlace:367,2,,,700
NSR:Quay:7377,,Sørumsand stasjon,,59.98605,11.24153,,,0,NSR:StopPlace:4091,2,,,700
NSR:Quay:28540,,Mjøndalen stasjon,,59.750603,10.012001,,,0,NSR:StopPlace:16396,2,,B,700
NSR:Quay:616,,Vakås stasjon,,59.84973,10.467009,,,0,NSR:StopPlace:368,2,,1,100
NSR:Quay:7379,,Sørumsand stasjon,,59.985996,11.241543,,,0,NSR:StopPlace:4091,2,,,700
NSR:Quay:617,,Vakås stasjon,,59.849693,10.467135,,,0,NSR:StopPlace:368,2,,2,100
NSR:Quay:618,,Kvål stasjon,,63.233383,10.280054,,,0,NSR:StopPlace:369,2,,1,100
NSR:Quay:28541,,Mjøndalen stasjon,,59.75048,10.012134,,,0,NSR:StopPlace:16396,2,,D,700
NSR:Quay:7375,,Sørumsand stasjon,,59.986023,11.241865,,,0,NSR:StopPlace:4091,2,,1,700
NSR:Quay:99922,,Trondheim S,,63.436153,10.401309,,,0,NSR:StopPlace:41742,2,,5,700
NSR:Quay:870,,Bryn stasjon,,59.908398,10.819564,,,0,NSR:StopPlace:529,2,,2,100
NSR:Quay:622,,Valnesfjord stasjon,,67.29948,15.192133,,,0,NSR:StopPlace:372,2,,1,100
NSR:Quay:623,,Göteborg Centralstation,,57.70944,11.974328,,,0,NSR:StopPlace:374,2,,9,100
NSR:Quay:624,,Göteborg Centralstation,,57.709076,11.975575,,,0,NSR:StopPlace:374,2,,1,100
NSR:Quay:6277,,Solbråtan stasjon,,59.80129,10.804765,,,0,NSR:StopPlace:3533,2,,,700
NSR:Quay:625,,Göteborg Centralstation,,57.709644,11.974186,,,0,NSR:StopPlace:374,2,,12,100
NSR:Quay:868,,Kil,,59.504513,13.316232,,,0,NSR:StopPlace:528,2,,,700
NSR:Quay:626,,Göteborg Centralstation,,57.709747,11.974121,,,0,NSR:StopPlace:374,2,,13,100
NSR:Quay:869,,Bryn stasjon,,59.90829,10.818738,,,0,NSR:StopPlace:529,2,,1,100
NSR:Quay:627,,Langhus stasjon,,59.749695,10.83672,,,0,NSR:StopPlace:375,2,,2,100
NSR:Quay:628,,Langhus stasjon,,59.749714,10.836538,,,0,NSR:StopPlace:375,2,,1,100
NSR:Quay:6276,,Solbråtan stasjon,,59.80044,10.804821,,,0,NSR:StopPlace:3533,2,,,700
NSR:Quay:78617,,Verdal stasjon,,63.791348,11.484699,,,0,NSR:StopPlace:45530,2,,,700
NSR:Quay:78615,,Verdal stasjon,,63.791336,11.484626,,,0,NSR:StopPlace:45530,2,,,700
NSR:Quay:1017,,Dal stasjon,,60.248936,11.202693,,,0,NSR:StopPlace:621,2,,1,100
NSR:Quay:1016,,Dal stasjon,,60.24901,11.202546,,,0,NSR:StopPlace:621,2,,3,100
NSR:Quay:86241,,Strømsnes,,67.29926,15.185447,,,0,NSR:StopPlace:50580,2,,,700
